seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
417,0.06,0.04,0.03,0.01,-0,1.03,sideways
418,0.05,0.04,0.04,0.01,-0,1.03,sideways
419,0.06,0.04,0.03,0.01,-0,1.03,sideways
420,0.05,0.05,0.04,0.01,-0,1.03,sideways
421,0.06,0.04,0.04,0.01,-0,1.03,sideways
422,0.04,0.05,0.03,0.01,-0,1.03,sideways
423,0.05,0.05,-0.04,-0.09,-0,1.03,sideways
424,0.05,0.05,-0.25,-0.25,0.03,1.07,sideways
425,0.03,0.1,-0.3,-0.25,0.07,1.05,sideways
426,0.07,0.08,0.91,-0.18,-0.07,1.16,sideways
427,0.04,0.08,1.05,-0.01,0.03,0.96,sideways
428,0.07,0.04,0.63,0.1,-0.06,1.06,sideways
429,0.08,0.01,0.66,0.24,-0.08,1.04,sideways
430,-0.09,0.01,0.73,0.43,-0.26,1.33,sideways
431,0.05,0.02,0.03,0.29,-0.09,1.12,sideways
432,0.05,0.04,-0.15,0.12,-0.01,1.05,sideways
433,0.04,0.06,-0.26,0.07,0,1.02,sideways
434,0.05,0.05,-0.01,0.02,0,1.02,sideways
435,0.05,0.04,-0.07,-0,0,1.03,sideways
436,0.05,0.05,-0.04,0.01,-0.01,1.02,sideways
437,0.05,0.05,-0.04,-0,0,1.03,sideways
438,0.04,0.04,0.03,0.01,0,1.03,sideways
439,0.05,0.04,0.03,-0,0,1.03,sideways
440,0.05,0.04,0.03,0.01,0,1.03,sideways
441,0.06,0.05,0.04,0.01,-0,1.03,sideways
442,0.05,0.04,0.03,0.01,-0,1.03,sideways
443,0.05,0.04,0.04,0.01,-0,1.03,sideways
444,0.05,0.05,0.05,0.01,-0,1.02,sideways
445,0.05,0.04,0.29,0.08,-0,1.05,sideways
446,0.06,0.06,0.1,0.15,-0.01,1.03,sideways
447,0.05,0.08,-0.15,0.22,-0.04,1.02,sideways
448,0.04,0.05,-0.54,0.15,-0.03,1.04,sideways
449,0.07,0.04,-0.37,0.17,-0.04,1.07,sideways
450,0.04,0.03,-0.59,0.05,-0.03,1.01,sideways
451,0.07,0.04,-1,-0.08,-0,1.11,sideways
452,0.06,-0,-0.21,-0.25,0.11,1.05,sideways
453,0.05,0.01,-0.3,-0.2,0.05,1.04,sideways
454,0.04,0.04,0.08,-0.23,0.02,1.05,sideways
455,0.06,0.05,0.05,-0.08,0,1.04,sideways
456,0.07,0.04,0.04,-0.04,-0,1.03,sideways
457,0.07,0.05,0.56,-0.03,-0.01,1.02,sideways
458,0.06,0.03,0.26,0.02,0,1.02,sideways
459,0.06,0.05,0.03,0.04,0.01,1.02,sideways
460,0.05,0.05,0.04,0.02,0,1.03,sideways
461,0.05,0.05,0.03,0.02,-0,1.03,sideways
